代码,名称,类型,综合评分,双轨收敛,首阳放量,量比,现价,阻力价,偏差(%),均线带宽(%),区间跌幅(%)
601138,工业富联,常规,42.9,否,否,1.31,63.69,65.25,-2.39,3.58,24.45
688533,上声电子,常规,42.7,否,否,1.13,20.12,20.63,-2.47,3.55,42.17
300278,华昌达,常规,42.4,否,否,0.91,3.59,3.68,-2.38,3.72,47.67
000819,岳阳兴长,常规,42.4,否,否,0.76,12.26,12.59,-2.61,3.48,35.74
300722,新余国科,常规,42.0,否,否,0.92,22.47,23.1,-2.72,3.47,43.49
002093,国脉科技,常规,41.9,否,否,1.17,6.95,7.1,-2.17,4.12,48.59
002616,长青集团,常规,41.9,否,否,1.17,4.87,4.99,-2.47,3.77,28.91
600292,电投水电,常规,41.2,否,否,0.84,12.05,12.37,-2.57,3.86,27.41
603409,汇通控股,常规,41.1,否,否,0.88,18.11,18.66,-2.93,3.48,40.92
000809,和展能源,常规,41.0,否,否,1.37,3.37,3.47,-2.85,3.61,29.05
603325,博隆技术,常规,40.7,否,否,0.66,54.4,56.0,-2.86,3.68,40.07
600117,西宁特钢,常规,40.4,否,否,1.05,2.29,2.36,-2.84,3.79,25.16
300619,金银河,常规,40.0,否,否,0.98,27.21,28.04,-2.96,3.89,37.99
